status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
100001,11/4/2023 17:12,0.7139414,227.2398,162.2359,102.4318,-125.8102,-0.6313758,14.60567,0.1843801
100001,11/4/2023 17:12,0.7139414,227.2438,162.2388,104.3144,-124.2575,-0.6429686,14.1915,1.093077
100001,11/4/2023 17:12,0.7086828,227.2205,161.0273,103.4847,-123.3722,-0.6426531,14.42421,0.7778379
100001,11/4/2023 17:12,0.7092105,227.1408,161.0906,102.047,-124.6459,-0.6334757,13.61976,1.144984
100001,11/4/2023 17:12,0.7120178,227.0989,161.6984,101.8676,-125.5762,-0.629985,13.76761,1.21888
100001,11/4/2023 17:12,0.7114922,227.0926,161.5746,101.8429,-125.4367,-0.6303151,14.30605,0.6584153
100001,11/4/2023 17:12,0.7156857,227.1983,162.6026,103.6252,-125.3053,-0.6372913,14.30747,1.371301
100001,11/4/2023 17:12,0.7177733,227.2683,163.1271,103.8032,-125.8386,-0.6363331,14.09584,1.584158
100001,11/4/2023 17:12,0.7148142,227.1107,162.3419,103.1245,-125.3804,-0.6352301,14.09584,1.584158
100001,11/4/2023 17:12,0.7076263,227.0768,160.6855,101.8077,-124.3183,-0.6335835,13.70705,0.8916541
100001,11/4/2023 17:12,0.717252,227.0649,162.8627,104.2587,-125.1175,-0.6401629,13.53632,1.515143
100001,11/4/2023 17:13,0.7107909,227.1444,161.4522,103.4762,-123.9333,-0.6409094,16.62939,1.559845
100001,11/4/2023 17:13,0.717947,227.1743,163.0991,102.3193,-127.0121,-0.6273445,13.22614,0.2918657
100001,11/4/2023 17:13,0.7049783,227.1487,160.1349,103.2203,-122.4286,-0.6445835,13.83958,1.168732
100001,11/4/2023 17:13,0.7072739,227.1293,160.6426,101.9138,-124.1758,-0.6344132,13.02957,1.659263
100001,11/4/2023 17:13,0.7090345,227.055,160.9898,101.7746,-124.7384,-0.6321802,14.14921,0.3526313
100001,11/4/2023 17:13,0.7083308,226.9075,160.7256,101.967,-124.2395,-0.6344168,14.80008,0.9067762
100001,11/4/2023 17:13,0.712193,227.0546,161.7067,104.0976,-123.7447,-0.6437435,14.00463,1.249999
