status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
110000,11/8/2023 14:40,6.20154,230.6602,1430.449,757.3598,-1213.503,-0.5294561,82.97442,2.410409
110000,11/8/2023 14:40,6.224017,230.5487,1434.939,751.4041,-1222.474,-0.5236488,83.34311,2.300883
110000,11/8/2023 14:40,6.036592,230.4188,1390.944,719.0834,-1190.649,-0.516975,83.70174,2.17433
110000,11/8/2023 14:40,6.180433,230.431,1424.164,737.0218,-1218.623,-0.517512,83.42246,2.250483
110000,11/8/2023 14:40,6.130828,230.5298,1413.338,735.1038,-1207.124,0.5168104,83.5349,1.59966
110000,11/8/2023 14:40,6.130116,230.5343,1413.202,756.856,-1193.445,-0.535561,82.61168,2.651933
110000,11/8/2023 14:40,6.358135,230.5261,1465.716,775.6655,-1243.651,-0.5292057,82.87328,1.516804
110000,11/8/2023 14:40,6.191539,230.3944,1426.496,745.5959,-1216.132,-0.5226765,83.42936,2.576548
110000,11/8/2023 14:40,6.217222,230.5606,1433.447,742.0535,-1226.428,-0.5176709,83.59232,2.294211
110000,11/8/2023 14:40,6.19788,230.3393,1427.615,757.9967,-1209.763,-0.530953,82.91501,2.738454
110000,11/8/2023 14:40,6.229764,230.1238,1433.617,746.9614,-1223.644,-0.5210329,84.04182,2.005695
110000,11/8/2023 14:40,6.221653,230.4566,1433.821,744.2758,-1225.519,-0.5190855,82.84458,1.669846
110000,11/8/2023 14:40,6.219548,230.2868,1432.28,762.6844,-1212.328,-0.5324968,83.45827,1.706985
110000,11/8/2023 14:40,6.163868,230.4093,1420.213,741.1627,-1211.479,-0.5218674,83.23342,2.665824
110000,11/8/2023 14:40,6.31364,230.5713,1455.744,761.3117,-1240.805,-0.5229707,83.29092,2.441956
110000,11/8/2023 14:41,6.181038,230.1313,1422.45,742.203,-1213.466,-0.5217777,83.55997,0.5567968
110000,11/8/2023 14:41,6.18241,230.3108,1423.876,755.0533,-1207.194,-0.5302804,82.88062,2.711826
110000,11/8/2023 14:41,6.193452,230.52,1427.715,746.6095,-1216.94,-0.5229402,83.34423,1.970932
110000,11/8/2023 14:41,6.163827,230.4721,1420.59,750.6011,-1206.099,-0.5283727,83.06842,2.617421
110000,11/8/2023 14:41,6.21321,230.3146,1430.993,745.2866,-1221.593,-0.5208179,83.56332,3.479327
110000,11/8/2023 14:41,6.330246,230.4891,1459.053,776.578,-1235.217,-0.532248,82.69876,2.433858
110000,11/8/2023 14:41,6.231045,230.6501,1437.191,748.8894,-1226.655,-0.5210785,83.26294,2.024902
110000,11/8/2023 14:41,6.303896,230.2754,1451.632,760.4963,-1236.479,-0.5238906,82.9396,1.740825
110000,11/8/2023 14:41,6.104455,230.3737,1406.306,747.1876,-1191.388,-0.5313124,83.4901,1.36927
110000,11/8/2023 14:41,6.037129,230.5411,1391.807,724.7994,-1188.188,-0.5207616,83.17466,2.29701
110000,11/8/2023 14:41,6.283749,230.4496,1448.087,761.4528,-1231.725,-0.5258334,82.90244,2.544148
110000,11/8/2023 14:41,6.238984,230.4735,1437.92,762.1376,-1219.328,-0.5300276,83.49167,3.176861
