,status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
37092,110110000,2023-12-05 09:01:29.515,3.185699,231.4436,737.3097,402.8949,617.496,0.5464392,51.34319,1.031821
37093,110110000,2023-12-05 09:01:30.090,2.741813,231.4918,634.7071,364.5067,519.6036,0.5742913,49.74314,1.210479
37094,110110000,2023-12-05 09:01:30.622,3.083272,231.5841,714.0369,395.577,594.4473,0.5540008,49.74314,1.210479
37095,110110000,2023-12-05 09:01:31.243,3.083272,231.5841,714.0369,395.577,594.4473,0.5540008,52.15219,1.597144
37096,110110000,2023-12-05 09:01:31.882,2.653955,231.6869,614.8866,356.5596,500.9499,0.5798786,50.4858,1.847325
37097,110110000,2023-12-05 09:01:32.368,2.653955,231.6869,614.8866,356.5596,500.9499,0.5798786,50.4858,1.847325
37098,110110000,2023-12-05 09:01:32.931,3.120265,231.5594,722.5267,394.7481,605.1602,0.5463439,71.44543,1.4691
37099,110110000,2023-12-05 09:01:33.368,1.398531,231.7478,324.1065,222.0631,-236.0785,-0.6851546,71.44543,1.4691
37100,110110000,2023-12-05 09:01:34.272,1.398531,231.7478,324.1065,222.0631,-236.0785,-0.6851546,72.25127,1.171883
37101,110110000,2023-12-05 09:01:34.817,1.429287,231.95,331.5232,224.6715,-243.7834,-0.6776947,71.73643,0.950695
37102,110110000,2023-12-05 09:01:35.266,1.429287,231.95,331.5232,224.6715,-243.7834,0.68015,71.73643,0.950695
37103,110110000,2023-12-05 09:01:36.143,1.374719,231.8529,318.7326,217.7709,-232.7365,-0.6832403,71.94959,1.513938
37104,110110000,2023-12-05 09:01:36.474,1.404131,231.8873,325.6002,221.5033,-238.6457,-0.6802922,72.2101,1.559494
37105,110110000,2023-12-05 09:01:37.213,1.404131,231.8873,325.6002,221.5033,-238.6457,-0.6802922,72.2101,1.559494
37106,110110000,2023-12-05 09:01:38.117,1.403217,231.8958,325.4002,220.5101,-239.2919,-0.677658,72.97407,1.788196
37107,110110000,2023-12-05 09:01:38.620,1.413018,231.913,327.6972,222.1454,-240.9085,-0.6778983,72.97407,1.788196
37108,110110000,2023-12-05 09:01:39.195,1.419843,231.8466,329.1857,220.3168,-244.5889,-0.6692783,72.78571,1.625865
37109,110110000,2023-12-05 09:01:39.868,1.414742,231.8034,327.9419,220.6191,-242.6378,-0.6727385,72.53458,1.700572
37110,110110000,2023-12-05 09:01:40.356,1.414742,231.8034,327.9419,220.6191,-242.6378,-0.6727385,72.53458,1.700572
37111,110110000,2023-12-05 09:01:40.930,1.403851,231.8949,325.5459,219.5891,-240.3346,-0.674526,72.08218,1.611112
37112,110110000,2023-12-05 09:01:41.477,1.403851,231.8949,325.5459,219.5891,-240.3346,-0.674526,72.08218,1.611112
37113,110110000,2023-12-05 09:01:42.054,1.385074,231.8334,321.1065,217.8264,-235.9259,-0.6783618,72.33041,1.237978
37114,110110000,2023-12-05 09:01:42.433,1.394136,231.8069,323.1705,219.077,-237.5804,-0.6778991,72.33041,1.237978
37115,110110000,2023-12-05 09:01:43.011,1.394136,231.8069,323.1705,219.077,-237.5804,-0.6778991,72.33257,1.09172
